,Unnamed: 0,Height,Weight
0,0.0,1.7526,47.62716
1,1.0,1.7018,54.43104
2,2.0,1.651,47.62716
3,3.0,1.6764,43.998424
4,4.0,1.6256,54.43104
5,5.0,1.7526,53.070264
6,6.0,1.7526,50.802304
7,7.0,1.651,50.802304
8,8.0,1.651,54.43104
9,9.0,1.7271999999999998,53.977448
10,10.0,1.651,55.791816
11,11.0,1.7018,47.62716
12,12.0,1.6001999999999998,41.730464
13,13.0,1.7018,58.059776
14,14.0,1.6256,45.812792
15,15.0,1.7526,53.523856
16,16.0,1.8034,59.874144
17,17.0,1.7526,54.884632
18,18.0,1.7018,53.523856
19,19.0,1.905,79.3786
20,20.0,1.8796,89.811216
21,21.0,1.8034,95.707912
22,22.0,1.778,108.86208
23,23.0,1.7018,91.171992
24,24.0,1.8034,84.821704
25,25.0,1.8288,81.64656
26,26.0,1.8288,96.161504
27,27.0,1.905,106.140528
28,28.0,1.8034,85.275296
29,29.0,1.905,83.007336
30,30.0,1.778,82.553744
31,31.0,1.7526,95.707912
32,32.0,1.8288,92.079176
33,33.0,1.8542,105.686936
34,34.0,1.8034,90.7184
35,35.0,1.7271999999999998,63.50288
36,36.0,1.8288,90.264808
37,37.0,1.8288,95.707912
38,38.0,1.8034,50.802304
39,39.0,1.7271999999999998,51.709488
40,40.0,1.778,50.348712
41,41.0,1.8034,54.43104
42,42.0,1.778,57.606184
43,43.0,1.8034,57.152592
44,44.0,1.7271999999999998,54.43104
45,45.0,1.778,58.96696
46,46.0,1.7526,54.43104
47,47.0,1.8034,58.059776
48,48.0,1.7526,55.338224
49,49.0,1.7018,47.62716
50,50.0,1.778,55.791816
51,51.0,1.778,56.699
52,52.0,1.778,53.523856
53,53.0,1.8034,56.699
54,54.0,1.778,53.977448
55,55.0,1.8034,52.16308
56,56.0,1.8034,58.059776
0,,1.7018,83.91452
1,,1.8541999999999998,70.30676
2,,1.7526,75.749864
3,,1.8288,111.13004
4,,1.7018,75.296272
5,,1.7526,88.45044
6,,1.7271999999999998,81.64656
7,,1.8034,77.11064
8,,1.8288,93.893544
9,,1.8034,86.636072
10,,1.8541999999999998,87.996848
11,,1.7271999999999998,68.0388
12,,1.7271999999999998,84.821704
13,,1.8034,97.52228
14,,1.7271999999999998,97.068688
15,,1.8541999999999998,93.893544
16,,1.7271999999999998,82.100152
17,,1.7526,84.821704
18,,1.8288,68.0388
19,,1.7271999999999998,104.779752
20,,1.778,76.657048
21,,1.7526,83.91452
22,,1.905,83.91452
23,,1.7526,72.57472
24,,1.778,72.57472
25,,1.7526,65.77083999999999
26,,1.7018,63.50288
27,,1.778,99.79024
28,,1.6764,81.192968
29,,1.7526,70.760352
30,,1.6001999999999998,75.749864
31,,1.8541999999999998,97.975872
32,,1.7271999999999998,102.0582
33,,1.8288,95.25431999999999
34,,1.905,90.7184
35,,1.7526,92.532768
36,,1.651,95.25431999999999
37,,1.7526,52.16308
38,,1.7526,63.50288
39,,1.7271999999999998,70.760352
40,,1.8034,83.460928
41,,1.7526,117.480328
42,,1.7526,68.0388
43,,1.8541999999999998,86.18248
44,,1.778,68.492392
45,,1.7271999999999998,58.96696
46,,1.6764,68.0388
47,,1.7526,64.863656
48,,1.778,97.52228
49,,1.8034,95.25431999999999
50,,1.6764,83.460928
51,,1.7526,83.91452
52,,1.7526,72.57472
53,,1.7271999999999998,65.77083999999999
54,,1.7018,63.50288
55,,1.8796,86.18248
56,,1.9811999999999999,110.676448
57,,1.778,69.853168
58,,1.6764,74.84268
59,,1.8034,69.853168
60,,1.7526,92.079176
61,,1.8796,90.7184
62,,1.905,90.7184
63,,1.7526,86.18248
64,,1.6764,93.439952
65,,1.7018,98.429464
66,,1.8034,100.243832
67,,1.6764,57.606184
68,,1.778,136.0776
69,,1.6764,52.16308
70,,1.7018,68.0388
71,,1.778,88.45044
72,,1.8288,90.7184
73,,1.8034,79.3786
74,,1.8034,102.511792
75,,1.7526,59.874144
76,,1.8034,104.32616
77,,1.778,77.564232
78,,1.7526,101.151016
79,,1.778,88.904032
80,,1.6764,85.275296
81,,1.8034,74.84268
82,,1.524,91.625584
83,,1.651,75.749864
84,,1.7526,88.45044
85,,1.7018,60.781328
86,,1.6764,86.18248
87,,1.6764,83.91452
88,,1.7271999999999998,81.64656
89,,1.8034,70.30676
90,,1.8541999999999998,103.418976
91,,1.7018,65.77083999999999
92,,1.7271999999999998,93.439952
93,,1.7271999999999998,68.945984
94,,1.651,122.016248
