FL,FRHL,ETL,MEL,BEL,LIPL_L,JL,FLL,FLR,DFL_L_R,DFL_R_L,NWL,L_L,L_W,LEL,LEW,REL,REW,FA,Gender,BMI
1032.3605163683364,690.0159358917291,817.8558068681627,860.135939083864,793.1213361049514,743.5208383046357,580.4795071919623,918.3384812296752,855.1616092216659,850.8446191855936,1010.4271284649623,173.7579092455691,345.8922608047204,114.13872270557088,204.12679472041143,108.31269206767683,142.14306746229488,100.74376555380448,146415440.57419196,1,24.91292510108466
484.5874854928029,365.50093790751987,426.50002155981184,415.0752927942711,401.9698027928252,375.56535564743695,290.60701512072563,411.8348705322084,416.89290518189284,463.5629988113677,454.5783884685589,91.3061536171698,206.20731519265732,45.004810513384285,88.33341991717776,47.113493355294345,102.19322039530859,47.98074904316009,20826890.35700399,0,12.722140126075217
1088.242620007138,795.7417922919469,920.97774131626,923.052002868744,859.239780270909,801.8204287744232,616.9935169837686,934.0,922.922531960294,981.3949256033476,1038.1107840688296,199.49185447030163,459.2602747897972,112.8716084761797,207.3306537876153,109.16501271011695,214.05840324546944,113.78049041905209,104781736.5,1,18.848017902303656
1039.7887268973575,714.0089888883025,847.4671865462615,850.0371825963255,843.0837905346397,800.1124208749739,649.3511746238341,882.3010823739379,877.5613151527431,971.0792496012381,978.4593537516637,209.46382549763555,431.7529203549023,126.41885462454096,184.80053262769258,100.5331598236798,197.06948745969663,103.47487988551444,180118079.0428123,1,24.523100611284622
556.3964413976782,392.2499203314132,476.34021455258215,470.2722615677008,473.4659438650261,446.49412090194426,353.5109616405126,473.00951364639593,478.5916840063145,531.0376634477069,518.536401808012,104.12012293500234,217.23029254687293,55.00909015790027,95.1892851112981,47.38143096192854,109.0,47.8539444560216,15161281.5,1,21.920814810449205
998.635702872035,711.5053915507506,842.6800411900232,871.1601216918634,827.7746161801001,781.0631615536741,622.1109144974654,874.065311051827,830.9456169118865,891.1581791779928,991.9389461236341,187.30992083412346,377.9998923817612,98.34606211700293,199.18305021240633,102.2613979976449,164.75036119127705,97.39923499934801,159568908.6414874,1,24.558830639541895
540.4713247058341,375.02387895923863,443.93242786346235,449.3811459845416,431.8153378309141,404.49934400987667,321.22606498115346,454.1552308976574,443.70797860612015,486.5972560165009,492.55931877362116,111.25717430852404,235.10195473208785,94.71132811181033,101.80722491404416,50.02288776870374,98.88010837319351,47.602323962556994,56353846.31075729,1,24.73234284199371
544.4840946048816,377.1685229367331,442.6132507304223,458.0793812306025,423.5133609164432,397.7153451759861,309.7331017320455,479.88119494458317,454.3043806065881,466.4205347150076,522.8575269196351,98.7197316218094,217.5752397653377,41.26820537376054,106.49996982124391,50.94521437927654,88.1803105895767,48.70729578499769,34852896.40130257,0,16.981245063889123
543.6543019235661,393.9098881724093,461.4596407054468,426.0633755675322,436.4309796519949,406.8734446974882,312.7746792820672,452.8807790136384,476.9538761767221,543.7030439495442,455.7477372406801,96.51942809610924,205.0780339285512,54.405882034941776,81.15417426109393,51.62363799656123,122.0,52.08646657242167,3045991.0,1,21.116856828461007
845.8174344536363,654.3779903561488,758.5000207778912,739.1730916822767,702.731819821593,651.3610243034418,501.21912356880887,705.6552311703122,711.2535595706765,808.5389621992406,782.5910257667189,165.0247683294684,387.26239813593327,131.86656800888437,161.44015027206612,88.0032570565167,180.05657994831677,86.83149425411045,5163758.289181521,0,15.9795107919284
